"type","id","latitude","longitude","name","description","image_url","date_added"
"gym","004fa760ab584d439ee6f47f45ec15f0.11","52.654287","1.292889","Catton Grove Post Office","","http://lh4.ggpht.com/fndjPNSyxMMu6SwlA6PaDiiOT8mTnfQ-OoLY8jKpZa3peB5htxS-vYOCZd1YYm7n1ftr9fuMVI5ZFlVOotpFf3KKM0q1eP6U-wbRB7PcFAuJyo04SQ","2018-04-11"
"gym","00da6b555f5841dcb0e8fb1497c0ee80.11","52.626897","1.290739","Assembly House Fountain","","http://lh3.googleusercontent.com/36rWI7jZN-aG8WzFbRaEf3sS5oqHDzlsbPZ7QxvlJdYAE40FzEIW5zTBuB9TR7Sdk6aWGiaPRtBXLahrKqnJ","2018-04-11"
"gym","02f5d4678d7442809cb11e140556c9c7.16","52.641373","1.222333","The FDC","Part of the community sports foundation in Norwich provides facilities to play and coach football.","http://lh3.googleusercontent.com/FqJdX6s4hGskT-JLvct0_RSvtCDhXXtN_ypU4Ved5eQqWrRZ6hr5b8hFDkZD1WOstpBR6kjExAuSkctwVuY","2018-04-11"
"gym","0397070927d44265b8055dbb09e54b70.16","52.599605","1.259356","Welcome To Eaton Common.","Welcome to Eaton sign which holds information on various types of nature and wildlife found here.","http://lh4.ggpht.com/mYwY5Uf6p7LIwtxKwSEMH_Lo-qnNjaZGkTznzLiyfn3yHbHNlgFpJ0-athY7cTEai8U8lF1eIRrHIP0Gv-pZcg","2018-04-11"
"gym","04cb504e33ab4f9ab3addb422354efb0.16","52.625837","1.260351","Earlham Library","Earlham Library","http://lh3.ggpht.com/Sb8cfqLjDohNWD0mM4JYVn39UfujosyZNLJvZ5WJpiJ6SZ9OPMyzt8KI4o6BiXzucgOmA1bt1GrREC5Nvts2KA","2018-04-11"
"gym","0798036118eb4b0e86f5e3ab99ad06e7.16","52.6386","1.328456","Heartsease Methodist Church","","http://lh5.ggpht.com/IgpmYkmnpUwZpmjX8RtLIfl_5TUoGXOp0b5f8Sbodc8h40iTBCJ_0UN3k8EQkrLSAmawwWuVQzk4HjhPLa--","2018-04-11"
"gym","082e573cb88448ddbec345c21874c89c.16","52.677451","1.223799","St. Margaret's Church","Parish of Drayton","http://lh5.ggpht.com/MkEMzSKoZ9zdGGjOhFk8EAinpkpIBhfMUTtofIn0DdPU9C5-1TdNkNgM0CN40_BrvtYYNkLIaVhOs1Mga8w","2018-04-11"
"gym","0a6960b1c7ac41f8a57b8bdc860f0777.16","52.630708","1.291902","The Mash Tun","Pub","http://lh5.ggpht.com/ixjpUpO2NAu43mOncktK-yYb7iMAiIEpZn5PVFAUbJywMPe1zD4h73l9gTkpwyJC6ATeGdYwuxXs_AdreEA","2018-04-11"
"gym","0a864634219341409a936cbec38a57a4.16","52.628731","1.305405","Greek Orthodox Church","Greek Orthodox Church","http://lh4.ggpht.com/dxu8YTjxMirvL6CLdFxZYs-hLM9gqwFwySBs3ZnPhA9nVRIHbfJB--ZZYMeV-2AnSIZ_cT_BhaEHv-w2lS5M","2018-04-11"
"gym","0e042f0a1eb7480680c9046f86faea4b.16","52.617482","1.267704","The Beehive","","http://lh6.ggpht.com/EVJRTSckorGEXB4PDb1HerQgJAudP5RXWAqdEFrPu8ca8a8zHIX5MSxo2hBTZYpEIFV33R6ENFbJfaT-37db","2018-04-11"
"gym","0f229b7d18704e50bd7aac1d598bf543.16","52.688782","1.279508","Horsham Village Sign","","http://lh3.ggpht.com/yZG7v2lbRIratNmHkpj-oMx0nIgnatoi4ab79yZ8kSMbgWhp39GrsMfmA5WTC2OeKvl09voOGbY4mneHKTw","2018-04-11"
"gym","0f87b84286a24b20a3e8b7d91cabf0e1.16","52.687445","1.327425","Spixworth Village Sign","","http://lh5.ggpht.com/A_IHVuUfJctfNy6cwvXJXkSDWyHrN_cWEGbBWf9AEPh8n8g7_ULtgERDVFcRzhvlFkIIlxhvlbSdO8JyEIly6Q","2018-04-11"
"gym","105a857512364491a5e92eeddf3885d9.16","52.662049","1.418508","Brick Kilns","Pub","http://lh3.ggpht.com/V9z9Dwau1k2F_jh-2dJA74OYRuyAPtu_hTZUkKjJu5FGFj796v24_QRTUErtQjYV1L507XgbJBz7gjadqRno","2018-04-11"
"gym","13fce85c449249f1978964d9ccfe9a51.16","52.644773","1.322454","Welcome to Mousehold Heath","Sign","http://lh3.googleusercontent.com/7xyN2Bum1S_TLtP9fCwF6p5rZJ_N6K7SYeAdii24hakkdWRnZ7elmU-r-WBoCMAitwuC4xswC-LkLqAm2hnR","2018-04-11"
"gym","1b165c21c7d14bc683ebbadd87543ce1.16","52.639391","1.303607","Silver Road  Baptist Church","Church","http://lh6.ggpht.com/uKlMXaOWSvf4Hm7Xh1wa7t55qk-ooQNzMe8VvATFhlepQy0oGTaUH8BIJUrB9RdGEJExmZRvyocrmmjj0CN-tA","2018-04-11"
"gym","1bc6fb4227aa4568a512b415e43db429.16","52.572658","1.21537","Saint Mary's Church","","http://lh3.googleusercontent.com/i0nM_Kqx-TShF0uTuJiO7FEdZfr8MMGUdvt2rNVN6DKv1kGsjfjJObfrzPvaH5z8u4ap1Pdrf1jpf1n60uRJ","2018-04-11"
"gym","1c2e7fef01fa4860b958e91bac118f60.11","52.663645","1.18373","The Eastern Gates","The gates at the east of Queens Hills housing estate.","http://lh4.ggpht.com/nQR4jRE-JohMBiuVgL6UOCoOIBbKpfkF2MyozdPqY-ATl0-Wpue3CLcV7AzWBvDwCWEOYFISaMh-OH1oqJE9t28MvMzn_gWY3-4MVKDv81OKuDHL","2018-04-11"
"gym","1c8103f308314259a7e10ebef04e1402.16","52.646515","1.28924","Waterloo Park Bird House","Birdhouse sculpture","http://lh5.ggpht.com/1cTZ0Gh4XkSPEu_fRl2WTOh79fOBHQqdbuU_WVlN6458aQ6lGsLRyZk02PEIEbq9PxnQS4l8w8L5vlwa2SY93Q","2018-04-11"
"gym","1ccb47282925463bbdef3fc845536629.16","52.644949","1.301695","The Prince of Denmark","","http://lh3.googleusercontent.com/xybUTBQZy_aYu7nMS9GgshPzVXrPPjwemj9tt03V2n_VfZ44qz6jF26vyeimjZ-xkhhvvYSEeDZEibeu5qpPwQ","2018-04-11"
"gym","1cf8704329164ca595bed81c90c3e143.16","52.633074","1.444232","Blofield Court House","Steps and doorway to the court house.","http://lh5.ggpht.com/83sgVmLA0ThOAUPnYKOlyS6pvQT7TaiWZms0rI6N3wNnpRI5vH0Q8BMML7baEE5NFVElIiC9oaL5ITori8LL","2018-04-11"
"gym","1d9165638a814aa1be53555aa2c038c8.16","52.617561","1.258893","South Park Fryer","","http://lh4.ggpht.com/xft9wOpyCKdXOd6aShHd5NiOq1XTWhjBcx_MkiAgALxQfMuuXJTFfVA4oth_E5POdXJSgSVlguO_Er17jM0","2018-04-11"
"gym","1e7721217e444f2488525f68a5d87e2d.16","52.625527","1.267403","Support","Wall decoration","http://lh4.ggpht.com/1X9PEUtgXplPf4PoEk1RnlcWk6rSKkiMrNDhT7FECeyXy3BYBpeKU6pLBInFsbCpvlz6cVV0TaTNPNZvjSjQ6A","2018-04-11"
"gym","1faebaf2c48d45659cb21efc3fab0cf6.16","52.65933","1.210397","Harte of Costessey","It's here roundabouts.","http://lh3.ggpht.com/QcekOYIAASa26-5ap_qPTaUG83844pTNY7cSJEai_8pO9JYgbMAfzUVBLZFRwRf2UxEDNK1wcT9DV7wvpc6L","2018-04-11"
"gym","1fc4b2f40bdb489c916124383c9429a2.16","52.608591","1.251622","Eaton Elephant","","http://lh3.ggpht.com/J3OirbyznvkjZXKhixHgcV7CFYOrFxGb6b-96sUIUELNY3ZP7lLUMgy8xEavXBe3tYoFzHN4sTbijeen8oH9","2018-04-11"
"gym","1fea8095910946fe9bc308790c2e94f0.16","52.574963","1.243683","Saint Mary's Church, Swardeston","","http://lh5.ggpht.com/o2Kc4WKU0cfPmHkl7N2M3wUpMqeSzdQU9Ey0-9bBdpQnXkXTCfJB3D9LqBrt4F0VNJ2Ot0I6c3xf07mAtz8","2018-04-11"
"gym","1ff73acb8353415f89cbc6da88cba6c7.16","52.625764","1.342673","The Rushcutters","","http://lh3.googleusercontent.com/zil88M99-_CcVVOAQ30jYwpp3HGoF4BOSO1dDG82xRXR3OqU67tg7cKlKd0Kthynv18gLK2yylLg6gKjY106","2018-04-11"
"gym","210093f3daab49d1be5e3b506b23a7f1.16","52.663681","1.325212","St. Mary and St. Margaret Church","","http://lh4.ggpht.com/GImmd89-PvzGa0IpnfYgZhDbSWpD9EsNQb5UraKRnUN4gypEAF3aQmYygYOUljjHXps4IXVfAzm62pIZHDhlSQ","2018-04-11"
"gym","210e717a38764e6b8adab0b45966abfd.16","52.602462","1.276191","Trifle Chimneys","","http://lh5.ggpht.com/vGP9b70FRqupG0sIQuP8tnkCJmrHxkYekpLGZp_Jn1v5aXeKvXAksIV2ybPOwFv8diKuHaJ-LrKDAMg7rOdV","2018-04-11"
"gym","2292963897da41e898d0b31dcc84c8e4.16","52.677471","1.410351","Salhouse Bell","Pub","http://lh5.ggpht.com/BQL99XnaTnQjCJ3NzLGzeYZcPVcQWKMWizrYsMB0pGqZBQtVuB7aVlFz9d5I0RuLgmuw7XV_KmW8bwRPGHZT","2018-04-11"
"gym","2334e5533b254d6094fcd3c394a522dd.16","52.630913","1.30817","Bishop Bridge","","http://lh4.ggpht.com/XXW488HkkbCFSLBM5AZbfafEewkGlBk2Qc4xWBmwbq_u_cZ8lkzYND6j1mX-2MXGj5r7YvbUtf-Ki2sJiOo","2018-04-11"
